created_at,referencia_credito,datos_garantia.fecha_desembolso,datos_garantia.codigo_producto
2023-10-31 16:33:57.394,96954294,2023-10-31 12:55:53,489
2023-10-31 16:33:58.428,18618625,2023-10-31 12:55:53,489
2023-10-31 16:33:59.314,79313231,2023-10-31 12:55:53,489
2023-10-31 16:34:00.145,14649476,2023-10-31 12:55:53,489
2023-10-31 16:34:01.220,53119965,2023-10-31 12:55:54,489
2023-10-31 16:34:02.091,49916821,2023-10-31 12:55:54,489
2023-10-31 16:34:02.879,39146984,2023-10-31 12:55:54,489
2023-10-31 16:34:03.923,81527281,2023-10-31 12:55:54,489
2023-10-31 16:34:04.943,45559235,2023-10-31 12:55:54,489
2023-10-31 16:34:05.933,96466621,2023-10-31 12:55:54,489
2023-10-31 16:34:06.981,99144278,2023-10-31 12:55:54,489
2023-10-31 16:34:07.835,79895536,2023-10-31 12:55:54,489
2023-10-31 16:34:08.842,82292498,2023-10-31 12:55:54,489
2023-10-31 16:34:09.720,62259269,2023-10-31 12:55:54,489
2023-10-31 16:34:10.586,37987197,2023-10-31 12:55:54,489
2023-10-31 16:34:11.519,77196417,2023-10-31 12:55:54,489
2023-10-31 16:34:12.344,87718995,2023-10-31 12:55:54,489
2023-10-31 16:34:13.226,42781413,2023-10-31 12:55:54,489
2023-10-31 16:34:14.238,16777683,2023-10-31 12:55:54,489
2023-10-31 16:34:15.244,75241448,2023-10-31 12:55:54,489
2023-10-31 16:34:18.536,64389495,2023-10-31 12:55:54,489
2023-10-31 16:34:19.561,84175921,2023-10-31 12:55:54,489
2023-10-31 16:34:20.438,84534778,2023-10-31 12:55:54,489
2023-10-31 16:34:21.230,55826315,2023-10-31 12:55:54,489
2023-10-31 16:34:22.137,69325183,2023-10-31 12:55:55,489
2023-10-31 16:34:23.169,54716746,2023-10-31 12:55:55,489
2023-10-31 16:34:24.071,33273833,2023-10-31 12:55:55,489
2023-10-31 16:34:24.931,35289416,2023-10-31 12:55:55,489
2023-10-31 16:34:25.766,71988643,2023-10-31 12:55:55,489
2023-10-31 16:34:26.587,97122619,2023-10-31 12:55:55,489
2023-10-31 16:34:27.683,87423965,2023-10-31 12:55:55,489
2023-10-31 16:34:28.692,96987486,2023-10-31 12:55:55,489
2023-10-31 16:34:29.512,73695249,2023-10-31 12:55:55,489
2023-10-31 16:34:30.537,75229312,2023-10-31 12:55:55,489
2023-10-31 16:34:31.478,35833589,2023-10-31 12:55:55,489
2023-10-31 16:34:32.381,98151553,2023-10-31 12:55:55,489
2023-10-31 16:34:33.247,67736368,2023-10-31 12:55:55,489
2023-10-31 16:34:34.163,16357921,2023-10-31 12:55:55,489
2023-10-31 16:34:35.123,74493559,2023-10-31 12:55:55,489
2023-10-31 16:34:36.007,52418478,2023-10-31 12:55:55,489
2023-10-31 16:34:37.148,27311188,2023-10-31 12:55:55,489
